SAM-1.0.0, default, scenario_8_bit_upperbound_255
fv_customer_counter_aip_i.scenarios_i.assume_counter_upper_bound, 1, 1
fv_customer_counter_aip_i.scenarios_i.genblk1[1].assume_counter_upper_bound, 1, 1
fv_customer_counter_aip_i.scenarios_i.genblk1[2].assume_counter_upper_bound, 1, 1
fv_customer_counter_aip_i.scenarios_i.useless_assumtpion_gen_block[3].assume_counter_upper_bound, 1, 1
fv_customer_counter_aip_i.scenarios_i.useless_assumtpion_gen_block[4].assume_counter_upper_bound, 1, 1
fv_customer_counter_aip_i.fv_counter_i.assert_reset_check, 1, 1
fv_customer_counter_aip_i.fv_counter_i.assert_count_check, 1, 1
fv_customer_counter_aip_i.fv_counter_i.genblk1[0].assert_count_reaches, 1, 1
fv_customer_counter_aip_i.fv_counter_i.genblk1[1].assert_count_reaches, 1, 1
fv_customer_counter_aip_i.fv_counter_i.genblk1[2].assert_count_reaches, 1, 1
fv_customer_counter_aip_i.fv_counter_i.genblk1[3].assert_count_reaches, 1, 1
fv_customer_counter_aip_i.fv_counter_i.count_reach_gen_block[4].assert_count_reaches, 1, 1
fv_customer_counter_aip_i.fv_counter_i.count_reach_gen_block[5].assert_count_reaches, 1, 1
fv_customer_counter_aip_i.fv_counter_i.count_reach_gen_block[6].assert_count_reaches, 1, 1
fv_customer_counter_aip_i.fv_counter_i.count_reach_gen_block[7].assert_count_reaches, 1, 1
fv_customer_counter_aip_i.fv_counter_i.assert_count_check_failure, 1, 0
fv_customer_counter_aip_i.fv_counter_i.genblk3[0].cover_fv_counter_out, 1, 1
fv_customer_counter_aip_i.fv_counter_i.genblk3[1].cover_fv_counter_out, 1, 1
fv_customer_counter_aip_i.fv_counter_i.count_covers_gen_block[7].cover_fv_counter_out, 1, 1
fv_customer_counter_aip_i.fv_counter_i.count_covers_gen_block[8].cover_fv_counter_out, 1, 1
